source	target	number_of_paths	node_type	node_value	node_count
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	700	NGLY1::NCBIGene:55768_in 1 to 1 orthology relationship with_Pngl::FlyBase:FBgn0033050	688
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	700	Pngl::FlyBase:FBgn0033050_has phenotype_short lived::FBcv:0000385	48
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	700	short lived::FBcv:0000385_has phenotype_Egfr::FlyBase:FBgn0003731	40
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	700	Egfr::FlyBase:FBgn0003731_in 1 to 1 orthology relationship with_Egfr::MGI:95294	144
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	700	Egfr::MGI:95294_involved in_wound healing::GO:0042060	36
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	700	wound healing::GO:0042060_involved in_AQP1::NCBIGene:358	72
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	700	Pngl::FlyBase:FBgn0033050_has phenotype_Drosophila embryo phenotype::FBbt:00000052PHENOTYPE	116
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	700	Drosophila embryo phenotype::FBbt:00000052PHENOTYPE_has phenotype_Jra::FlyBase:FBgn0001291	48
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	700	Jra::FlyBase:FBgn0001291_in 1 to 1 orthology relationship with_Jun::MGI:96646	48
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	700	Jun::MGI:96646_involved in_positive regulation of epithelial cell migration::GO:0010634	8
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	700	positive regulation of epithelial cell migration::GO:0010634_involved in_AQP1::NCBIGene:358	32
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	700	Pngl::FlyBase:FBgn0033050_has phenotype_partially lethal - majority die::FBcv:0000352	104
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	700	partially lethal - majority die::FBcv:0000352_has phenotype_Jra::FlyBase:FBgn0001291	48
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	700	Jra::FlyBase:FBgn0001291_in 1 to 1 orthology relationship with_JUN::NCBIGene:3725	24
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	700	JUN::NCBIGene:3725_involved in_positive regulation of fibroblast proliferation::GO:0048146	8
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	700	positive regulation of fibroblast proliferation::GO:0048146_involved in_AQP1::NCBIGene:358	140
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	700	Jra::FlyBase:FBgn0001291_in 1 to 1 orthology relationship with_Jun::RGD:2943	16
